Var1,Var2,Var3
9933.71411411411,9163.61940279499,10912.5968299796
9836.67104604605,9068.1436622428,10722.5057355264
9762.0266976977,8990.62054283946,10655.9926464723
9732.95002902903,8976.90759543437,10608.0612316837
9583.31231131131,8812.43808899146,10426.2336446805
9330.38345445446,8580.7759321522,10182.6691647915
9411.33435835836,8631.98115842247,10267.1558698363
9376.69310910911,8665.53947758028,10267.4875214055
9146.75378478479,8457.79054517573,9970.80629630202
9176.76854354354,8500.16502258182,10029.6693447452
9208.79534634634,8496.03424941517,10109.2955379236
9371.46506506506,8633.78577465815,10298.6225503801
9393.64914914915,8707.05121837552,10351.8508901626
9438.07687587588,8759.08230208723,10401.5392084511
9405.95447347347,8723.46236917917,10351.8331236254
9062.38129229229,8315.17489478725,9985.40466398088
9060.8387977978,8340.64801859295,9916.53236173882
9019.41844244245,8287.64599782886,9910.17598301673
9319.93645545545,8571.12666146219,10210.9869155234
9229.97274774775,8460.3761753873,10030.9082365243
9166.19797297297,8443.63563530408,10059.3128256238
9378.86134034034,8651.31985931452,10249.0816561163
9602.62540940941,8830.7026954006,10533.750576617
9827.73013013013,9045.91394452306,10757.7491091485
9997.64267367368,9193.88458384363,10995.7098639508
9796.95502602603,9019.49813898286,10776.7570289087
9472.10794394394,8690.16319695239,10429.7968367459
9497.07126226227,8758.67232374625,10417.7028834887
9563.16188088088,8796.89767358206,10516.1939910315
9689.21748848849,8886.23810771219,10650.2079782825
9829.13352452452,9042.29778203138,10860.7222553762
9790.43439339339,8969.18637683224,10799.7798027954
9871.64996596596,9077.16331658044,10841.8986745386
9631.83734134134,8805.32247358439,10550.8753200152
9121.81777677678,8386.27018254783,10037.4024715195
9358.10708208208,8585.79692215852,10220.9320089806
9261.90234134135,8477.34134697407,10033.1211871426
9168.98442342342,8367.60786981636,9999.0850133499
9148.65451051051,8368.08310661335,10016.3878288364
9355.82979379379,8567.59679583196,10205.0777135885
9681.82453553553,8866.02942484823,10610.033837304
9756.9218978979,8933.28750208476,10685.5873765955
9827.14085185185,9007.1070776073,10871.3964959494
9627.13433333333,8894.20013998049,10731.8222230375
9463.62564164164,8725.04832660257,10485.0629818693
8986.58355855856,8314.89070444717,9952.84950106447
8944.77925825826,8255.58003712989,9793.0626142773
9052.79195095095,8401.87666279747,9928.31809742469
9125.86982882883,8510.77236994767,10022.9590137415
8920.89376476477,8277.10439933371,9884.63867072703
9104.3078988989,8407.73513437471,10054.1627080553
9178.02753853853,8512.78795406665,10067.4829320704
9233.99823423423,8540.7980712511,10085.2464872045
9611.09888988989,8867.56678799466,10536.4471900949
9584.49824924925,8806.63679753972,10400.2763515472
9969.02886486486,9121.74446993966,10853.4912174255
9511.15284884885,8725.34865356564,10365.5180819191
9407.93765665664,8659.98169872279,10325.7352609737
9262.54191791791,8484.40523890858,10118.6779981891
9202.60747847848,8408.0155439388,10098.0493517768
9247.31739639639,8460.49713377851,10159.8888942509
9372.10487987988,8581.96500582848,10338.304410905
9142.29129029029,8409.02531464214,10102.4179011116
9328.88916816817,8545.66398344241,10282.7315819822
9347.27455355355,8549.44572317829,10236.9530090926
9441.02846446446,8636.64051463949,10392.5092248677
9494.62962862863,8694.71001520669,10374.9150944212
9769.01967567568,8949.07131155813,10764.7090240864
9556.68708708709,8748.36625155738,10480.7962252253
9245.81994394394,8490.60344614113,10123.8475685703
9448.71967067067,8651.34587625789,10332.370560277
9877.54568968969,9009.42298729377,10813.8299546458
9767.61164264264,8882.30845700149,10738.8553857584
9851.02329429429,8944.2563823495,10790.1826897687
9737.9417007007,8817.07782782398,10727.7254349279
9647.04694694695,8805.28341121851,10671.8938824701
9862.51393793794,9058.89227272998,10894.599326499
9570.66241841841,8779.40640902527,10465.4707561852
9576.1017977978,8772.23269298779,10468.2664807559
9582.39791691692,8759.44707694781,10429.8314556044
9851.47947947948,8970.0648664482,10742.3054041663
9899.35510610611,9032.75220541437,10803.9548150934
9973.89084684685,9197.92232798215,10846.1880436537
9649.64948548549,8928.48095499342,10493.7420444992
9580.39982382382,8827.19567345649,10412.0070850418
9379.06384784785,8581.46058938544,10247.510335537
9248.63822922923,8485.28542341323,10071.645500124
9200.29509409409,8442.22509897952,9999.86514116008
9170.66986886887,8405.80054039675,9984.07328929188
9193.44942442442,8455.64439008505,10024.6918587851
9358.82073173174,8562.20799574132,10144.2834158371
9171.47795395395,8446.55270567539,9987.50902512213
9147.46377977977,8397.49832892733,9968.48139004606
9221.39653253253,8503.23116143766,10016.3418118209
9068.79155555555,8358.84679343028,9830.93676535697
9245.14357457458,8548.99707351752,10043.7292084139
9512.92535635636,8794.19933467272,10340.3695060482
9565.92382382382,8829.56981317398,10462.7834117228
9349.7105015015,8612.38030293903,10190.3123148503
9239.25122622623,8514.61448993894,10117.1489655743
9278.70202602603,8532.76410065212,10194.1815316977
9422.97841741742,8632.82927383125,10293.152263124
9784.01779279279,8984.90700731205,10706.2695192842
9756.25128228228,8956.245802164,10665.5079415082
9404.95830930931,8669.5640214115,10298.7035017931
