START_POPULATION,CROWDING_COEFFICIENT,REPRODUCTION_PROBABILITY,DEATH_PROBABILITY,ITERATION_GRAND_MEAN,LOWER_95_CI,UPPER_95_CI
1,2e-05,0.5,0.45,499.547263681592,498.8407960199,500.233830845771
1,2e-05,0.55,0.5,426.328358208955,425.925373134328,426.756218905473
1,2e-05,0.6,0.55,397.616915422886,397.144278606965,398.089552238806
1,2e-05,0.65,0.6,422.855721393035,422.36815920398,423.373134328358
1,2e-05,0.7,0.65,473.248756218905,472.771144278607,473.756218905473
1,2e-05,0.75,0.7,423.65671641791,423.273631840796,424.039800995025
1,2e-05,0.8,0.75,671.099502487562,670.378109452736,671.865671641791
1,2e-05,0.85,0.8,552.298507462687,551.955223880597,552.666666666667
1,2e-05,0.9,0.85,798.81592039801,798.467661691542,799.189054726368
1,2e-05,0.95,0.9,1266.75124378109,1265.21393034826,1268.19402985075
1,2e-05,1,0.95,2499.19900497512,2498.95024875622,2499.42288557214
1,3e-05,0.05,0,1668.26865671642,1667.72139303483,1668.81094527363
1,3e-05,0.1,0.05,882.935323383085,882.383084577114,883.422885572139
1,3e-05,0.15,0.1,485.81592039801,485.328358208955,486.323383084577
1,3e-05,0.2,0.15,599.427860696517,598.905472636816,599.980099502488
1,3e-05,0.25,0.2,484.47263681592,484.074626865672,484.845771144279
1,3e-05,0.3,0.25,318.084577114428,317.626865671642,318.55223880597
1,3e-05,0.35,0.3,430.422885572139,430.029850746269,430.776119402985
1,3e-05,0.4,0.35,246.970149253731,246.452736318408,247.462686567164
1,3e-05,0.45,0.4,430.835820895522,429.955223880597,431.636815920398
1,3e-05,0.5,0.45,266.860696517413,266.358208955224,267.358208955224
1,3e-05,0.55,0.5,248.706467661692,248.268656716418,249.189054726368
1,3e-05,0.6,0.55,329.601990049751,329.208955223881,329.955223880597
1,3e-05,0.65,0.6,267.049751243781,266.557213930348,267.52736318408
1,3e-05,0.7,0.65,548.676616915423,548.009950248756,549.36815920398
1,3e-05,0.75,0.7,299.671641791045,299.223880597015,300.164179104478
1,3e-05,0.8,0.75,447.860696517413,447.218905472637,448.507462686567
1,3e-05,0.85,0.8,415.646766169154,415.203980099502,416.089552238806
1,3e-05,0.9,0.85,564.92039800995,564.601990049751,565.258706467662
1,3e-05,0.95,0.9,898.029850746269,897.741293532338,898.328358208955
1,3e-05,1,0.95,1666.74129353234,1666.66666666667,1666.81094527363
1,4e-05,0.05,0,1249.05472636816,1248.68656716418,1249.41791044776
1,4e-05,0.1,0.05,649.084577114428,648.73631840796,649.412935323383
1,4e-05,0.15,0.1,423.064676616915,422.616915422886,423.467661691542
1,4e-05,0.2,0.15,350.691542288557,350.333333333333,351.054726368159
1,4e-05,0.25,0.2,335.696517412935,335.427860696517,335.955223880597
1,4e-05,0.3,0.25,259.681592039801,259.373134328358,259.980099502488
1,4e-05,0.35,0.3,287.512437810945,287.199004975124,287.805970149254
1,4e-05,0.4,0.35,246.338308457711,245.89552238806,246.756218905473
1,4e-05,0.45,0.4,112.855721393035,112.422885572139,113.28855721393
1,4e-05,0.5,0.45,235.179104477612,234.726368159204,235.646766169154
1,4e-05,0.55,0.5,163.049751243781,162.606965174129,163.517412935323
1,4e-05,0.6,0.55,287.26368159204,286.810945273632,287.73631840796
1,4e-05,0.65,0.6,249.029850746269,248.442786069652,249.582089552239
1,4e-05,0.7,0.65,174.726368159204,174.203980099502,175.26368159204
1,4e-05,0.75,0.7,236.358208955224,236.059701492537,236.651741293532
1,4e-05,0.8,0.75,335.258706467662,334.845771144279,335.691542288557
1,4e-05,0.85,0.8,337.63184079602,337.203980099502,338.069651741294
1,4e-05,0.9,0.85,448,447.597014925373,448.328358208955
1,4e-05,0.95,0.9,700.502487562189,700.1592039801,700.850746268657
1,4e-05,1,0.95,1249.74626865672,1249.65174129353,1249.83084577114
1,5e-05,0.05,0,1000.32338308458,1000.06965174129,1000.60199004975
1,5e-05,0.1,0.05,578.467661691542,578.024875621891,578.935323383085
1,5e-05,0.15,0.1,369.577114427861,369.233830845771,369.930348258706
1,5e-05,0.2,0.15,388.661691542289,388.194029850746,389.139303482587
1,5e-05,0.25,0.2,267.1592039801,266.81592039801,267.517412935323
